name,email
Kikimora Labs,software@kikimora.ch
Near Foundation,erik@near.foundation
Interac,community@interac.ca
Capital One,alli.sherman@capitalone.com
Ada.cx,hello@ada.support
Cockroach Labs,info@cockroachlabs.com
Courier,nica@courier.com
Intact Insurance,Media@intact.net
Open AI,press@openai.com
Bell,communityfund@bell.ca
Rogers,corp.responsibility@rci.rogers.com
Linode,support@linode.com
1password,support@1password.com
storage hotel,info@storagehotel.ca
Cashapp,cash-marketing@squareup.com
Hootsuite,customer.support@hootsuite.com
Loblaw Digital,Sponsorship@loblaw.ca
Coil,info@coil.com
DigitalOcean,sponsorship@digitalocean.com
Cosmic finite,sales@cosmicfinite.com
Amiy Infotech,business@amiyinfotech.com
Tech Data,CustomerExperience@techdata.com
Ethereum Foundation,academic-grants@ethereum.org
techusa,info@techusa.net
hire tech ladies,partnerships@hiretechladies.com
Anker,marketing@anker.com
Ankr,info@ankr.com
eluv.io,events@live.eluv.io
SOC,soc@soctechnologies.com
StreamYard,contact@streamyard.com
Honda of Canada Mfg.,HCMInfo@hcm.honda.com
