name,email
Brave,bizdev@brave.com
Octopus Network,hi@oct.network
Scotiabank,sponsorship@scotiabank.com
Ubisoft,info.TO@ubisoft.com
Proctor & Gamble,pgcanadadonations.im@pg.com
FDM,CA.recruitment@fdmgroup.com
Quest Trade,support@questrade.com
Echo 3D,sponsorships@echo3D.co
Maple Soft,sponsorship@maplesoft.com
Clerky,hackathons@clerky.com
Clark Software Systems,jim@clarksoftware.com
Nuanced,info@nuanced.ca
Risolv,Info@risolv.ca
Village Media,help@villagemedia.ca
Guelph Today,mac@guelphtoday.com
Big Brothers Big Sisters,taylor.brick@bigbrothersbigsisters.ca
