name,email
IMC,sponsorship@imc-mnc.ca
CGI,website contact box
DRW,mediarelations@drw.com
Hyp Labs,info@hyplabs.co
Wix,bizdev@wix.com
Vancity,sponsorship@vancity.com
WealthSimple,info@wealthsimplefoundation.com
SweaterPlanet,hello@sweaterplanet.com
Able Innovations,contact@ableinnovations.ca
Arceta,info@acerta.ia
CodeGem,hello@codegem.app
Evercloak,hi@evercloak.com
Labscubed,info@labscubed.com
Qidni,info@qidni.com
Medalla Health,hr@medella.ca
The making box,talkbox@themakingbox.ca
Sortable,team@sortable.com
H2nano,info@h2nano.ca
DarwinAI,marketing@darwinai.com
Mosia,hello@mosia.io
Slack,sponsorship@slack.com
Techyon,contact@techyon.org
Pearson,emarketing@pearsoned.com
Mary Pearson,maryp@teachingawards.com
Firebase,firebase-events@google.com
Okta,welovepartners@okta.com
Packet Pushers,sponsors@packetpushers.net
BestBuy,sponsorships@bestbuycanada.ca
iExperience,hello@ixperience.co
Proto.io,annaw@proto.io
Open Screen,sales@openscreen.com
geeks for geeks,campus@geeksforgeeks.org
Roomiez,tomiwa@roomiez.ca
Communitech,front.desk@communitech.ca
stream9,info@stream9.net
Dropbase,hello@dropbase.io
Tuned,hello@tuned.com
ACV Auctions,press@acvauctions.com
Waterfront International,recruiting@wil.com
Yet Analytics,team@yetanalytics.com
appliedvisions,frank.zinghini@avi.com
MetLife Foundation,metlifefoundation@metlife.com
Southwest,sponsorships@wnco.com
Refresh Miami,team@refreshmiami.com
Poke Guys,info@pokeguys.ca
Red Hat,sponsorships@redhat.com
Our Wave,hello@ourwave.org
