name,email
Crypto Chicks,cryptochicks@womenlabs.xyz
Jetbrains,sponsorships@jetbrains.com
Voiceflow,braden@voiceflow.com
echoAR,info@experienceechoar.com
YDZ,mail@ydzand.co
Juno college,info@junocollege.com
Lighthouse labs,hello@lighthouselabs.com
axure,support@axure.com
BMO,GTD.SponsorshipDonations@bmo.com
TD,thereadycommitment@td.com
CIBC,Mailbox.CommunityInvestment@cibc.com
Daniel,support@get.tech
DataStax Astra,info@datastax.com
Github,events@github.com
StickerMule,sponsorships@stickermule.com
Oracle,events.ca@oracle.com
Cisco,investor-relations@cisco.com
Deloitte,media@deloitte.co.za
City Awake,cityawake@bostonchamber.com
Qualcomm,kawakefield@gmail.com
VR Cover,business@vrcover.com
Accenture,Alex.pachetti@accenture.com
Metrolinx,rick.radovski@metrolinx.com
Postman,info@postman.com
Starbucks,info@starbucks.com
Dapper Labs,marketing@dapperlabs.com
Makey Makey,support@joylabz.com
Figma,press@figma.com
Desmos,partnerships@desmos.com
Yelp,info@yelpfoundation.org
Imagination Capital,info@imaginationvc.com
ComSoc,kristine.chin@comsoc.org
DCL,topaz@distributed.computer
Dhari,support@dhari.ca
Ollon,hello@ollon.com
Hudson River Trading,press@hudson-trading.com
The Assembly Show,quispec@bnpmedia.com
Covalent,krishna@thisiscovalent.org
Covalent,contact@covalenthq.com
GoDaddy,brandmarketing@godaddy.com
Kabam,media@kabam.com
Craver,info@craverapp.com
Sun Life,sponsorbusinesscentre@sunlife.com
